name	Handedness	Height	Weight	Batting Average	HR
Steve Huntz	B	73	204	0.21	16
Gary Wheelock	R	75	205	0	0
Lenny Faedo	R	72	170	0.25	5
John Lowenstein	L	72	175	0.25	116
Don Kessinger	B	73	170	0.25	14
Joe Hague	L	72	195	0.24	40
Bake McBride	L	74	190	0.3	63
Dick Davis	R	75	190	0.27	27
Richie Scheinblum	B	73	180	0.26	13
Ed Herrmann	L	73	195	0.24	80
Mike Rochford	L	76	205	0	0
Jeff Schneider	B	75	195	0	0
Bob Molinaro	L	72	190	0.26	14
Mike Hegan	L	73	188	0.24	53
Mike Diaz	R	74	195	0.25	31
Tim Foli	R	72	179	0.25	25
Alan Knicely	R	72	190	0.21	12
Tim Laudner	R	75	212	0.23	77
Jose Morales	R	71	187	0.29	26
Luis Encarnacion	R	70	178	0	0
Rick Kreuger	R	74	185	0	0
Juan Marichal	R	72	185	0.17	4
Vida Blue	B	72	189	0.1	4
Angel Moreno	L	69	165	0	0
Roger Weaver	R	75	190	0	0
Stan Papi	R	72	170	0.22	7
Rob Wilfong	L	73	180	0.25	39
Chris Knapp	R	77	195	0	0
Steve Henderson	R	74	190	0.28	68
Rob Picciolo	R	74	185	0.23	17
Don Welchel	R	76	205	0	0
Randy Wiles	L	73	185	0	0
Roberto Pena	R	68	170	0.25	13
Bob Dernier	R	72	160	0.26	23
Bill Melton	R	74	200	0.25	160
Albert Hall	B	71	155	0.25	5
Barbaro Garbey	R	70	170	0.27	11
John Milner	L	72	185	0.25	131
Rich Reese	L	75	185	0.25	52
Chris Bando	B	72	195	0.23	27
Bill Buckner	L	72	185	0.29	174
Jack Hiatt	R	74	190	0.25	22
Nelson Mathews	R	76	195	0.22	22
Larry Lintz	B	69	150	0.23	0
Ron Theobald	R	68	165	0.25	2
Dewey Robinson	R	72	180	0	0
Rafael Santana	R	73	165	0.25	13
Jerry Hairston	B	70	170	0.26	30
Tony Arnold	R	71	170	0	0
Jeff Schattinger	L	77	200	0	0
Ike Brookens	R	77	170	0	0
Tommie Aaron	R	75	190	0.23	13
Steve Dillard	R	73	180	0.24	13
Win Remmerswaal	R	74	160	0	0
Jeff Peterek	R	74	195	0	0
George Scott	R	74	200	0.27	271
Jeff Shaver	R	75	195	0	0
Ken Walters	R	73	180	0.23	11
Gorman Thomas	R	74	210	0.23	268
Paul Dade	R	73	185	0.27	10
Darrell Porter	L	72	193	0.25	188
Tim Johnson	L	73	170	0.22	0
Fred Stanley	R	70	165	0.22	10
Larry Bowa	B	70	155	0.26	15
Tim Corcoran	L	71	175	0.27	12
Jim Spencer	L	74	195	0.25	146
Pete LaCock	L	74	200	0.26	27
Carl Morton	R	72	200	0.16	7
Gary Gray	R	72	187	0.24	24
Matty Alou	L	69	160	0.31	31
Pete Filson	B	74	195	0	0
Jim Dwyer	L	70	165	0.26	77
Dalton Jones	L	73	180	0.24	41
Rennie Stennett	R	71	160	0.27	41
Jim Gideon	R	75	190	0	0
Jerry May	R	74	190	0.23	15
Rich McKinney	R	71	185	0.23	20
Clint Hurdle	L	75	195	0.26	32
Mike Andrews	R	75	195	0.26	66
Bobby Clark	R	72	190	0.24	19
Jeff Twitty	L	74	185	0	0
Cliff Johnson	R	76	215	0.26	196
Steve Cummings	B	74	200	0	0
Donn Clendenon	R	76	209	0.27	159
Charlie James	R	73	195	0.26	29
Bob Horner	R	73	195	0.28	218
Tom Veryzer	R	73	175	0.24	14
Jose Cecena	R	71	180	0	0
George Smith	R	70	170	0.21	9
Jim Essian	R	74	195	0.24	33
Onix Concepcion	R	66	160	0.24	3
Boots Day	L	69	160	0.26	8
Brian Giles	R	73	165	0.23	10
Garry Maddox	R	75	175	0.29	117
Alex Trevino	R	70	165	0.25	23
Jim Price	R	72	192	0.21	18
